creature_type,location,time_of_day,weather,rarity_score,photographer_level
Dragon,Thunder_Mountain,Evening,Stormy,9,4
Unicorn,Enchanted_Forest,Dawn,Sunny,8,3
Fairy,Crystal_Cave,Night,Cloudy,6,2
Troll,Mystic_Lake,Morning,Rainy,4,1
Centaur,Enchanted_Forest,Afternoon,Sunny,7,3
Dragon,Crystal_Cave,Night,Stormy,10,5
Unicorn,Mystic_Lake,Dawn,Sunny,9,4
Fairy,Enchanted_Forest,Evening,Cloudy,5,2
Phoenix,Thunder_Mountain,Morning,Sunny,10,5
Griffin,Crystal_Cave,Afternoon,Cloudy,8,3
Mermaid,Mystic_Lake,Afternoon,Sunny,7,2
Golem,Crystal_Cave,Morning,Cloudy,5,1
Sprite,Enchanted_Forest,Dawn,Foggy,6,2
Hydra,Thunder_Mountain,Night,Stormy,9,5
Werewolf,Shadow_Vale,Night,Cloudy,8,4
Dragon,Thunder_Mountain,Morning,Sunny,8,4
Unicorn,Enchanted_Forest,Evening,Sunny,7,3
Fairy,Crystal_Cave,Afternoon,Foggy,6,2
Troll,Mystic_Lake,Night,Rainy,3,1
Centaur,Enchanted_Forest,Morning,Sunny,7,3
Phoenix,Sunrise_Peak,Dawn,Sunny,10,5
Griffin,Crystal_Cave,Night,Cloudy,8,3
Mermaid,Mystic_Lake,Evening,Sunny,8,3
Golem,Crystal_Cave,Afternoon,Cloudy,5,2
Sprite,Enchanted_Forest,Morning,Sunny,6,2
Hydra,Thunder_Mountain,Evening,Stormy,10,5
Werewolf,Shadow_Vale,Evening,Cloudy,7,3
Dragon,Crystal_Cave,Morning,Foggy,9,5
Unicorn,Enchanted_Forest,Afternoon,Sunny,8,4
Fairy,Crystal_Cave,Dawn,Cloudy,5,2
Troll,Mystic_Lake,Afternoon,Rainy,4,1
Centaur,Enchanted_Forest,Night,Sunny,6,2
Phoenix,Thunder_Mountain,Evening,Sunny,9,4
Griffin,Crystal_Cave,Morning,Cloudy,7,3
