"Timestamp","What's your wizard name","How many candies do you have in your bag?","Do you think the Enchanted Forest Neighborhood is SAFE or CURSED?"
"2026/08/20 2:38:52 PM MDT","harrison","5","CURSED (< 60% items are candy)"
"2026/08/20 2:38:58 PM MDT","noah","2","CURSED (< 60% items are candy)"
"2026/08/20 2:39:03 PM MDT","?","6","SAFE (>= 60% items are candy)"
"2026/08/20 2:39:21 PM MDT","diddy","8","SAFE (>= 60% items are candy)"
"2026/08/20 2:39:31 PM MDT","mila","1","CURSED (< 60% items are candy)"
"2026/08/20 2:39:41 PM MDT","JonathanF","2","CURSED (< 60% items are candy)"
"2026/08/20 2:40:07 PM MDT","Mason","3","CURSED (< 60% items are candy)"
"2026/08/20 2:42:28 PM MDT","Aaravi","9","SAFE (>= 60% items are candy)"
"2026/08/20 2:42:48 PM MDT","zlata","6","SAFE (>= 60% items are candy)"
"2026/08/20 2:43:05 PM MDT","lucas","10","SAFE (>= 60% items are candy)"
