"Timestamp","Wizard name","How tall are you? (enter number only please in cm)"
"2025/08/09 9:17:01 PM MDT","Sky","175"
"2025/08/14 2:08:35 PM MDT","Jonas","173"
"2025/08/14 2:08:57 PM MDT","max","189.6"
"2025/08/14 2:09:04 PM MDT","Anirudh","152.4"
"2025/08/14 2:09:04 PM MDT","Joe Bonkers","175"
"2025/08/14 2:09:18 PM MDT","abida:)","159"
"2025/08/14 2:09:18 PM MDT","Sky","5"
"2025/08/14 2:09:21 PM MDT","Amypeach","158"
"2025/08/14 2:09:39 PM MDT","henri :D","152"
"2025/08/14 2:09:49 PM MDT","REDACTED","0.000000000000000000000000000000000...1"
"2025/08/14 2:09:53 PM MDT","Pavel","6"
"2025/08/14 2:09:57 PM MDT","Gigachad","137"
"2025/08/14 2:10:03 PM MDT","Bob","165"
"2025/08/14 2:10:42 PM MDT","Levana","135"
"2025/08/14 2:10:49 PM MDT","Wizard","172"
"2025/08/14 2:10:50 PM MDT","Kent","135"
"2025/08/14 2:11:00 PM MDT","Imnotawizard","1"
"2025/08/14 2:11:18 PM MDT","Dylan","167"
"2025/08/14 2:11:20 PM MDT","CookieWizardThe3rd","170"
"2025/08/14 2:11:20 PM MDT","Addie_:)","148"
"2025/08/14 2:11:43 PM MDT","Helen (～￣▽￣)～","135"
"2025/08/14 2:11:44 PM MDT","Dylan","167"
"2025/08/14 2:12:13 PM MDT","Kent","3"
"2025/08/14 2:12:13 PM MDT","Pavel 2.0","999999999999999999999999"
"2025/08/14 2:12:18 PM MDT","Sasha","140"
"2025/08/14 2:12:31 PM MDT","Thisismythirdresponse","99999999999999999999999999999999999..."
"2025/08/14 2:12:52 PM MDT","Yao","200"
